2025-12-05 15:40:22 | INFO | starBoard.search.engine | sid=20251205-154000-195ec5 | ensure_embeddings gallery=0/94 queries=0/108 force=False
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=num_apparent_arms n=48 med=14.000 mad=1.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=num_total_arms n=48 med=16.000 mad=1.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=tip_to_tip_size_cm n=46 med=9.652 mad=1.335
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=stripe_order n=44 med=2.000 mad=0.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=stripe_prominence n=32 med=2.000 mad=1.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=stripe_extent n=0 med=0.000 mad=0.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=arm_thickness n=0 med=0.000 mad=0.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=rosette_prominence n=3 med=0.000 mad=0.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.numeric | sid=20251205-154000-195ec5 | build field=reticulation_order n=46 med=3.000 mad=0.000
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=stripe_color n_with_color=43 n_with_lab=36 threshold=50.0
2025-12-05 15:40:22 | WARNING | starBoard.search.field.color | sid=20251205-154000-195ec5 | field=stripe_color unknown_colors=6: ['bright orange', 'brown orange', 'burnt orange', 'faint mauve', 'light brown', 'mauve burgundy']
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=arm_color n_with_color=0 n_with_lab=0 threshold=50.0
